Epoch,train_loss,train_accuracy,test_loss,test_accuracy
0,0.9997,0.0120,0.9998,0.0030
1,0.9998,0.0033,0.9998,0.0020
2,0.9998,0.0030,0.9998,0.0020
3,0.9998,0.0030,0.9998,0.0020
4,0.9993,0.0033,0.9995,0.0020
5,0.9992,0.0066,0.9977,0.0149
6,0.9995,0.0053,0.9990,0.0030
7,0.9998,0.0013,0.9999,0.0000
8,0.9985,0.0057,0.9973,0.0089
9,0.9988,0.0040,0.9992,0.0020
10,0.9988,0.0030,0.9992,0.0020
11,0.9988,0.0030,0.9992,0.0020
12,0.9986,0.0030,0.9990,0.0020
13,0.9986,0.0030,0.9990,0.0020
14,0.9986,0.0030,0.9986,0.0030
15,0.9986,0.0030,0.9990,0.0020
16,0.9986,0.0030,0.9990,0.0020
17,0.9986,0.0030,0.9990,0.0020
18,0.9986,0.0030,0.9990,0.0020
19,0.9986,0.0030,0.9990,0.0020
